follower,following
sarah46,woodardjennifer
jacquelineclark,scottallen
candace80,lauren49
simmonsjoy,andrewruiz
andrewruiz,melinda53
kevin99,monicamartin
jennifer12,robert46
jacksonroger,davisjoel
justin33,anthony52
jennifer52,randy34
candace80,wallacepatrick
iweber,knguyen
elester,foxbrandon
bpayne,chenjanet
greenwilliam,sarah93
monicamartin,lauren49
candace80,thomasbarnes
woodardjennifer,kmorrow
lisabrown,millerjennifer
michaelbell,iwilliams
heidilucas,robert46
dana27,wkennedy
hickmananthony,dharris
mercercrystal,jacquelineclark
angela03,sarah93
riveralaurie,martin40
stacey24,hodgeslori
linda68,michaelbell
ulewis,riveralaurie
scottperry,peter28
wscott,anthony52
linda68,john52
judy29,hickmananthony
cookanne,sarah46
melinda53,hodgeslori
kmorrow,hensonelizabeth
wernerleah,scottperry
dharris,jacquelineclark
nmathis,angela03
simmonsjoy,candace80
wwang,elester
abbotttabitha,sarah46
andrewruiz,juanhull
stacey24,dawn49
sarah46,scottallen
brian91,dwayne20
clarkbruce,chenjanet
andrewruiz,wkennedy
rothpaige,dharris
dwayne20,knguyen
simmonsjoy,judy29
cookanne,peter28
melissa70,john52
iweber,justin33
monicamartin,rothpaige
elester,juanhull
jacksonroger,judy29
sarah93,linda68
abbotttabitha,peter28
anna13,melissa70
elester,wkennedy
wwang,linda68
anna13,cookanne
casey71,jonesamy
robert46,judy29
samantha10,jacksonroger
angela03,abbotttabitha
simmonsjoy,wharrell
simmonsjoy,franciscofrederick
monicamartin,dharris
martin40,greenwilliam
jamessmith,isabella72
jasmineharris,randy34
stacyserrano,jacksonroger
isabella72,hickmananthony
candace80,peter28
randy34,linda68
simmonsjoy,anna13
ulewis,fishershelly
cookanne,iwilliams
rothpaige,lisabrown
jose42,stacyserrano
simmonsjoy,nfernandez
casey71,candicebanks
mercercrystal,casey71
christopherfuentes,isabella72
judy29,mercercrystal
scottperry,fishershelly
franciscofrederick,nwilkins
abbotttabitha,john55
clarkbruce,jennifer52
robert46,franciscofrederick
stacey24,jose42
erica19,jose42
foxbrandon,elester
riveralaurie,michaelbell
andrewruiz,hickmananthony
abbotttabitha,iwilliams
mercercrystal,foxbrandon
thomasbarnes,clarkbruce
monicamartin,riveralaurie
juanhull,samantha10
jamessmith,melissa70
jasmineharris,chenjanet
riveralaurie,john52
melissa70,jamessmith
daniel63,kmorrow
samantha10,wallacepatrick
melinda53,jose42
evansjason,john57
jennifer52,shaunthomas
monicamartin,lisabrown
candace80,john55
dawn49,billywilliams
jacquelineclark,dawn49
anna13,hensonelizabeth
candace80,iwilliams
christopherfuentes,melissa70
stacyserrano,wallacepatrick
stacey24,christopherfuentes
evansjason,jennifer12
millerjennifer,jennifer12
nmathis,iweber
dwayne20,justin33
billywilliams,jennifer52
simmonsjoy,jacksonroger
dharris,foxbrandon
nicholasgutierrez,candace80
nmathis,nfernandez
christopherfuentes,seanwade
wallacepatrick,clarkbruce
john57,randy34
wscott,angela03
nicholasgutierrez,evansjason
jasmineharris,wwang
john55,ulewis
wallacepatrick,randy34
jamessmith,leonard73
davisjoel,heidilucas
shaunthomas,jacksonroger
melinda53,cookanne
caroldodson,greenwilliam
lauren49,stacyserrano
seanwade,monicamartin
nicholasgutierrez,judy29
iweber,nwilkins
thomasbarnes,robert46
isabella72,mercercrystal
fernandezemma,dawn49
simmonsjoy,stacey24
fishershelly,linda68
wkennedy,riveralaurie
justin33,elester
dwayne20,millerjennifer
candace80,fishershelly
foxbrandon,thomasbarnes
monicamartin,nicholasgutierrez
ulewis,cparker
christopherfuentes,leonard73
jamessmith,hensonelizabeth
wernerleah,erica19
riveralaurie,jamessmith
caroldodson,brian91
christopherfuentes,hensonelizabeth
nicholasgutierrez,wharrell
cookanne,jonesamy
john57,robert46
candicebanks,jose42
nicholasgutierrez,iweber
anthony52,juanhull
dana27,sarah93
wallacepatrick,robert46
mercercrystal,juanhull
nicholasgutierrez,anna13
abbotttabitha,jonesamy
wkennedy,iwilliams
rothpaige,woodardjennifer
anthony52,wkennedy
elester,mercercrystal
robert46,wallacepatrick
samantha10,dharris
justin33,linda68
fernandezemma,daniel63
evansjason,samantha10
candace80,woodardjennifer
nicholasgutierrez,helen15
bowenashley,chenjanet
cookanne,cparker
leonard73,udaniels
john57,wwang
john55,juanhull
lisabrown,anthony52
caroldodson,davisjoel
bpayne,casey71
randy34,peter28
abbotttabitha,cparker
nfernandez,brian91
john55,wkennedy
monicamartin,woodardjennifer
knguyen,stacyserrano
dawn49,udaniels
hickmananthony,erica19
kevin99,jose42
hensonelizabeth,fernandezemma
jasmineharris,shaunthomas
iweber,wscott
dharris,wkennedy
candicebanks,kmorrow
melinda53,caroldodson
samantha10,riveralaurie
jose42,greenwilliam
iwilliams,ulewis
wkennedy,fishershelly
nwilkins,greenwilliam
nicholasgutierrez,jacksonroger
candace80,cparker
simmonsjoy,rothpaige
wernerleah,michaelbell
cookanne,scottallen
kevin99,christopherfuentes
wscott,nfernandez
cookanne,dwayne20
